candidate_id,source_sample,source_x,source_y,qx,qy
quadtree_14_31_1_1,0,-3.26967525482177734375,1.52689433097839355469,0.267749208054421428127,0.35631382261803828948
quadtree_14_31_1_1,1,-3.25533628463745117188,1.70296692848205566406,0.315545396085936735719,0.943222365595167255847
quadtree_14_31_1_1,2,-3.06162047386169433594,1.49200212955474853516,0.961265516014418341939,0.240006800243132645267
quadtree_14_31_1_1,3,-3.33957600593566894531,1.6328125,0.0347467436809578145152,0.709374106664015791068
quadtree_14_31_1_1,4,-3.05556702613830566406,1.45328950881958007812,0.981444031334389066501,0.110964766855149055136
quadtree_14_31_1_1,5,-3.07629060745239257812,1.42834651470184326172,0.91236517664386629356,0.0278214978145989166869
quadtree_14_31_1_1,6,-3.17370462417602539062,1.48514008522033691406,0.587651511206374710383,0.217133372458169271457
quadtree_14_31_1_1,7,-3.1677703857421875,1.70752048492431640625,0.607432613219489159206,0.958400585009991923258
quadtree_7_27_1_1,0,-5.36967515945434570312,0.326894491910934448242,0.267749208054421428127,0.35631382261803828948
quadtree_7_27_1_1,1,-5.35533618927001953125,0.502967178821563720703,0.315545396085936735719,0.943222365595167255847
quadtree_7_27_1_1,2,-5.16162061691284179688,0.292002350091934204102,0.961265516014418341939,0.240006800243132645267
quadtree_7_27_1_1,3,-5.43957567214965820312,0.432812631130218505859,0.0347467436809578145152,0.709374106664015791068
quadtree_7_27_1_1,4,-5.15556669235229492188,0.25328972935676574707,0.981444031334389066501,0.110964766855149055136
quadtree_7_27_1_1,5,-5.1762905120849609375,0.228346720337867736816,0.91236517664386629356,0.0278214978145989166869
quadtree_7_27_1_1,6,-5.27370452880859375,0.285140305757522583008,0.587651511206374710383,0.217133372458169271457
quadtree_7_27_1_1,7,-5.26777029037475585938,0.507520616054534912109,0.607432613219489159206,0.958400585009991923258
quadtree_8_19_4_5,0,-4.828701019287109375,-1.64552915096282958984,0.267749208054421428127,0.35631382261803828948
quadtree_8_19_4_5,1,-4.77134561538696289062,-0.76516628265380859375,0.315545396085936735719,0.943222365595167255847
quadtree_8_19_4_5,2,-3.99648141860961914062,-1.81998968124389648438,0.961265516014418341939,0.240006800243132645267
quadtree_8_19_4_5,3,-5.10830402374267578125,-1.11593866348266601562,0.0347467436809578145152,0.709374106664015791068
quadtree_8_19_4_5,4,-3.97226715087890625,-2.01355266571044921875,0.981444031334389066501,0.110964766855149055136
quadtree_8_19_4_5,5,-4.05516195297241210938,-2.13826751708984375,0.91236517664386629356,0.0278214978145989166869
quadtree_8_19_4_5,6,-4.44481801986694335938,-1.85429978370666503906,0.587651511206374710383,0.217133372458169271457
quadtree_8_19_4_5,7,-4.42108106613159179688,-0.742398977279663085938,0.607432613219489159206,0.958400585009991923258
quadtree_19_27_2_2,0,-1.68935036659240722656,0.433788686990737915039,0.267749208054421428127,0.35631382261803828948
quadtree_19_27_2_2,1,-1.66067266464233398438,0.785934031009674072266,0.315545396085936735719,0.943222365595167255847
quadtree_19_27_2_2,2,-1.27324068546295166016,0.364004433155059814453,0.961265516014418341939,0.240006800243132645267
quadtree_19_27_2_2,3,-1.82915186882019042969,0.645624995231628417969,0.0347467436809578145152,0.709374106664015791068
quadtree_19_27_2_2,4,-1.26113355159759521484,0.286579161882400512695,0.981444031334389066501,0.110964766855149055136
quadtree_19_27_2_2,5,-1.30258083343505859375,0.236693173646926879883,0.91236517664386629356,0.0278214978145989166869
quadtree_19_27_2_2,6,-1.49740910530090332031,0.350280374288558959961,0.587651511206374710383,0.217133372458169271457
quadtree_19_27_2_2,7,-1.4855403900146484375,0.795040965080261230469,0.607432613219489159206,0.958400585009991923258
quadtree_24_25_1_1,0,-0.269675105810165405273,-0.273105591535568237305,0.267749208054421428127,0.35631382261803828948
quadtree_24_25_1_1,1,-0.255336225032806396484,-0.097033195197582244873,0.315545396085936735719,0.943222365595167255847
quadtree_24_25_1_1,2,-0.0616200678050518035889,-0.307997673749923706055,0.961265516014418341939,0.240006800243132645267
quadtree_24_25_1_1,3,-0.339575886726379394531,-0.167187601327896118164,0.0347467436809578145152,0.709374106664015791068
quadtree_24_25_1_1,4,-0.0555665083229541778564,-0.346710234880447387695,0.981444031334389066501,0.110964766855149055136
quadtree_24_25_1_1,5,-0.076290175318717956543,-0.371653199195861816406,0.91236517664386629356,0.0278214978145989166869
