t_sim_s,step,x,y,z,yaw,vx,vy,vz,wind_id,baseline_angle_deg,baseline_length_m
0.0,1,-5.229885978801125,-1.2046853525674341,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,95,2.0
0.2,2,-5.142730236053467,-1.2708800506591795,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,90,2.0
0.4,3,-5.142730236053467,-1.3408800506591798,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,90,2.0
0.6000000000000001,4,-5.142730236053467,-1.4108800506591797,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,90,2.0
0.8,5,-5.142730236053467,-1.4808800506591795,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,90,2.0
1.0,6,-5.142730236053467,-1.5508800506591798,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,90,2.0
1.2000000000000002,7,-5.142730236053467,-1.6208800506591796,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,90,2.0
1.4000000000000001,8,-5.142730236053467,-1.69088005065918,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,90,2.0
1.6,9,-5.142730236053467,-1.7608800506591797,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,90,2.0
1.8,10,-5.055574493305809,-1.834685352567434,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,85,2.0
2.0,11,-5.055574493305809,-1.9046853525674343,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,85,2.0
2.2,12,-5.055574493305809,-1.9746853525674342,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,85,2.0
2.4000000000000004,13,-5.055574493305809,-2.0446853525674342,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,85,2.0
2.6,14,-5.055574493305809,-2.1146853525674345,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,85,2.0
2.8000000000000003,15,-5.055574493305809,-2.184685352567434,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,85,2.0
3.0,16,-4.919082058386537,-2.2160722976469716,0.4,0.0,0.35,0.0,0.0,W_fast,80,2.0
3.2,17,-4.763911190950946,-2.2349542243701115,0.4,0.0,0.35,0.0,0.0,W_fast,75,2.0
