t_sim_s,step,x,y,z,yaw,vx,vy,vz,wind_id,baseline_angle_deg,baseline_length_m
0.0,1,-0.7555743025709454,-5.304685257200003,0.4,3.141592653589793,-0.35,0.0,0.0,W_fast,85,2.0
0.2,2,-0.6539110002160827,-5.334954129002679,0.4,3.141592653589793,-0.35,0.0,0.0,W_fast,75,2.0
0.4,3,-0.7239110002160828,-5.334954129002679,0.4,3.141592653589793,-0.35,0.0,0.0,W_fast,75,2.0
0.6000000000000001,4,-0.7839112863183777,-5.3449538429003844,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,75,2.0
0.8,5,-0.7839112863183777,-5.414953842900385,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,75,2.0
1.0,6,-0.7507099973603664,-5.461187239138408,0.4,3.141592653589793,-0.35,0.0,0.0,W_fast,70,2.0
1.2000000000000002,7,-0.8207099973603662,-5.461187239138408,0.4,3.141592653589793,-0.35,0.0,0.0,W_fast,70,2.0
1.4000000000000001,8,-0.8907099973603663,-5.461187239138408,0.4,3.141592653589793,-0.35,0.0,0.0,W_fast,70,2.0
1.6,9,-0.742730140686035,-5.594854456139878,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,60,2.0
1.8,10,-0.6991533228652624,-5.681728197105051,0.4,3.141592653589793,-0.35,0.0,0.0,W_fast,55,2.0
2.0,11,-0.7691533228652625,-5.681728197105051,0.4,3.141592653589793,-0.35,0.0,0.0,W_fast,55,2.0
2.2,12,-0.8391533228652626,-5.681728197105051,0.4,3.141592653589793,-0.3499999999999999,0.0,0.0,W_fast,55,2.0
2.4000000000000004,13,-0.9091533228652626,-5.681728197105051,0.4,3.141592653589793,-0.35,0.0,0.0,W_fast,55,2.0
2.6,14,-0.9691536566512733,-5.6917278633190405,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,55,2.0
2.8000000000000003,15,-0.89994248331578,-5.814835464489055,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,50,2.0
3.0,16,-0.8856230733971925,-5.893773364840063,0.4,3.141592653589793,-0.3499999999999999,0.0,0.0,W_fast,45,2.0
3.2,17,-0.9356234548669192,-5.913772983370337,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,45,2.0
3.4000000000000004,18,-0.8766857929344888,-6.048092154870345,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,40,2.0
3.6,19,-0.9366855068321939,-6.05809244097264,0.4,3.141592653589793,-0.35,0.0,0.0,W_fast,40,2.0
3.8000000000000003,20,-0.9235780963970434,-6.15730342357327,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,35,2.0
4.0,21,-0.8767047369015964,-6.300879859924317,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,30,2.0
4.2,22,-0.8364223536493852,-6.448261598183617,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,25,2.0
4.4,23,-0.8030375199001267,-6.598859716598648,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,20,2.0
4.6000000000000005,24,-0.8130371384304003,-6.6588600980683745,0.4,3.141592653589793,-0.3499999999999999,0.0,0.0,W_fast,20,2.0
4.800000000000001,25,-0.8830371384304003,-6.6588600980683745,0.4,3.141592653589793,-0.3499999999999999,0.0,0.0,W_fast,20,2.0
5.0,26,-0.8768044574481143,-6.792060671770648,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,15,2.0
5.2,27,-0.8579225307249746,-6.947231539206239,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,10,2.0
5.4,28,-0.8465355856454371,-7.1037239741255105,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,5,2.0
5.6000000000000005,29,-0.8465355856454371,-7.173723974125511,0.4,-1.5707963267948966,0.0,-0.35,0.0,W_fast,5,2.0
5.800000000000001,30,-0.8727300453186038,-7.300879955291748,0.4,3.141592653589793,-0.35,0.0,0.0,W_fast,0,2.0
