environment_index,house,wind,source_index,source_id,probe_rank,presence_prob,multiplicity_mean_unconditional,multiplicity_mean_conditional,state_count,replica_count,total_forward_count
0,House01,"1,3-2,4_fast",0,pmfs_13_18,1,0.98649472946470429,53.442820418964736,54.174461173212848,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,2,0,0,0,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,3,1.5978075960356991e-05,1.6088462584104033e-05,1.0069086305523218,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,4,2.8957410207071503e-09,2.8957410207071503e-09,1,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,5,0.0071158189032751781,0.0076725153268842631,1.0782336412964157,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,6,0.087995477612294468,0.10195851448950387,1.1586790282419983,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,7,0.012688372411172499,0.060464401687072081,4.7653394562908113,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,8,0.5520227214490826,1.1499941487881271,2.0832369830164685,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,9,0.45969452360407881,1.1586616892987356,2.5205035731438392,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,10,0.40942891396116465,0.9620576083914123,2.3497549283553183,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,11,0.53022292578084906,1.1536923911083827,2.1758628965531095,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,12,0.57519837180999189,2.5810295844619926,4.487199044636025,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,13,0.48398058675229549,1.311220753599297,2.709242456186344,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,14,0.9202160930091684,4.6818090081214905,5.0877278105533463,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,15,0.014232205778005829,0.041589884735003579,2.922237451012391,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,16,0.075499188737673903,0.098590509509284108,1.3058485946364573,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,17,0.0014674915042537475,0.0014702685110964094,1.0018923495193071,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,18,0.00022754724771671548,0.00022754724771671548,1,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,19,0.97272080928087234,13.119364500045776,13.48728676807568,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,20,0.0058568811659598782,0.0081280839974944286,1.3877836628707363,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,21,0.67489794184538454,2.6362226043235171,3.9061055618502114,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,22,0.0030836049313930662,0.0062407093208646939,2.0238355625035784,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,23,0.66312211946668953,2.1375645861368286,3.2234855743553648,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,24,0.10551409772733678,0.15904782495664965,1.5073608966230421,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,25,0.24696742676119046,1.0370390039074302,4.1990922345812569,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,26,0.19534095038067212,0.70129312168468128,3.5900978280182989,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,27,0.3847676586698402,0.77935042206875305,2.0255091728941146,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,28,0.48990536035588855,0.98023607905832411,2.0008682459531326,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,29,0.0090016107600704946,0.0090016107600704946,1,11,8,88
0,House01,"1,3-2,4_fast",0,pmfs_13_18,30,0.87799121913584799,5.3109558956189593,6.0489852060778038,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,1,0.98464821956374426,42.142366712743588,42.799413918013357,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,2,7.394306904147511e-09,7.394306904147511e-09,1,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,3,0.00013754154971102554,0.00013760147527210455,1.0004356906055292,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,4,7.2393525517678756e-10,7.2393525517678756e-10,1,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,5,0.0087377233285025908,0.0088692050468271184,1.0150475945943072,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,6,0.081786978311160136,0.088442713191914824,1.0813789067427435,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,7,0.01205635973548686,0.060513598188249904,5.0192263266774733,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,8,0.54706674898889929,1.0889118750664322,1.9904552361827563,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,9,0.38444839793812041,0.91403006545144971,2.3775104028358287,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,10,0.37872246959754691,0.90221605449914932,2.3822617534626289,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,11,0.50368131070651789,1.0249242718246849,2.0348665913115087,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,12,0.57846028340811084,2.3822230483320626,4.118213672850163,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,13,0.46217640840702434,1.2410378474742174,2.6852037985921475,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,14,0.91948831758715888,4.6938503492962234,5.1048504472720397,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,15,0.014814814126690511,0.037630085645518688,2.5400308990528586,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,16,0.083547001585512509,0.10811008255801756,1.294003142020173,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,17,0.0011083588957419011,0.0011110822611871381,1.0024571151598094,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,18,3.7465339158826438e-06,3.7465339158826438e-06,1,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,19,0.97236067801713943,14.336875102736734,14.744400330927434,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,20,0.0053035111645417417,0.0065749674660428329,1.2397385924256754,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,21,0.64909113841977983,2.3189846886829897,3.5726642245164304,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,22,0.0025676708256722495,0.0049941551042061083,1.9450137666686982,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,23,0.64692929607223382,2.078697981312871,3.2131764536456715,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,24,0.095057639122180917,0.13170482776149584,1.3855259711658838,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,25,0.21324063429359191,0.76977437379127867,3.6098859691602931,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,26,0.19692706994035028,0.71868654137307952,3.6495060917260971,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,27,0.35803662883964454,0.64434816730632027,1.7996710822425583,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,28,0.42195456608103332,0.798685593821574,1.8928236782445251,11,8,88
0,House01,"1,3-2,4_fast",1,pmfs_13_19,29,0.0014160152262366989,0.0014160152262366989,1,11,8,88
