phase	environment_index	house	wind	source_index	source_id	new_index	seed_key	requested_seed	resolved_seed_base_uint32	cube_sha256	cube_bytes	pooled_sha256	pooled_bytes	run_dir
TARGET	0	House01	1,3-2,4_fast	0	pmfs_13_18	0	JTD_E2|TARGET|environment_id=0|source_id=pmfs_13_18|target_new_index=0	1518485619	1518485619	a8a147aa71b340dcf6aa57e7f386963db577e14658935deaaa306f907a3d6c46	396848	84a6a3a087b760cdd55a8accffc9fb614ff76656da8bb2a72fdd79ad72dba2fa	1328	/home/zyc/JTD_E2_K12_180_RUNS_20260925/target/E0_House01/1,3-2,4_fast/pmfs_13_18/target_00_seed_1518485619
TARGET	0	House01	1,3-2,4_fast	0	pmfs_13_18	1	JTD_E2|TARGET|environment_id=0|source_id=pmfs_13_18|target_new_index=1	446612736	446612736	5ac451c9540d0535920bee4b2d3ea2a5d3b491e85dcf6609b46ce33ab3177611	396848	1acb8351466245e13d8d4507e28b351db6b0f984b3add67d48a846ad1da908b7	1328	/home/zyc/JTD_E2_K12_180_RUNS_20260925/target/E0_House01/1,3-2,4_fast/pmfs_13_18/target_01_seed_446612736
TARGET	0	House01	1,3-2,4_fast	0	pmfs_13_18	2	JTD_E2|TARGET|environment_id=0|source_id=pmfs_13_18|target_new_index=2	1721139348	1721139348	920e71eaa7775fe78c1b45b454531ac25288b5e82ae549a2885e229adb618629	396848	0ad254901ac7b77bc961bb985c9157572a4209cef4b55161dca092a0710a8706	1328	/home/zyc/JTD_E2_K12_180_RUNS_20260925/target/E0_House01/1,3-2,4_fast/pmfs_13_18/target_02_seed_1721139348
TARGET	0	House01	1,3-2,4_fast	0	pmfs_13_18	3	JTD_E2|TARGET|environment_id=0|source_id=pmfs_13_18|target_new_index=3	374231629	374231629	8e913a2b78e71a0af3a59e7025efc66b6b2579320ced7e3f8e17eae06c800948	396848	be4a4e8434c90096d50f98ae889a93aabf651b02f8cafbdf253f972df0df3a37	1328	/home/zyc/JTD_E2_K12_180_RUNS_20260925/target/E0_House01/1,3-2,4_fast/pmfs_13_18/target_03_seed_374231629
TARGET	0	House01	1,3-2,4_fast	1	pmfs_13_19	0	JTD_E2|TARGET|environment_id=0|source_id=pmfs_13_19|target_new_index=0	217234422	217234422	10e13f352c37d1a626d171a59b0df76e9e7a11c7756c0ae89ab06c3fd9259410	396848	d772a6d24ff473ee705fffa8278f9974dc43ccf7b9870951974250b94a2d9698	1328	/home/zyc/JTD_E2_K12_180_RUNS_20260925/target/E0_House01/1,3-2,4_fast/pmfs_13_19/target_00_seed_217234422
TARGET	0	House01	1,3-2,4_fast	1	pmfs_13_19	1	JTD_E2|TARGET|environment_id=0|source_id=pmfs_13_19|target_new_index=1	802085035	802085035	861f3ae20c6248faf2e51c71a7523c201d631a093d5726406bfe3b78401fdef4	396848	bf45be561aedb7a3a7186c40ff93cfd9635134b1aed516ffcd7f76361185c8cf	1328	/home/zyc/JTD_E2_K12_180_RUNS_20260925/target/E0_House01/1,3-2,4_fast/pmfs_13_19/target_01_seed_802085035
TARGET	0	House01	1,3-2,4_fast	1	pmfs_13_19	2	JTD_E2|TARGET|environment_id=0|source_id=pmfs_13_19|target_new_index=2	1669888489	1669888489	d64a06fc80fd50901f3610bf6927413afa725237211a6191e40639bb58084e49	396848	98800ed0dd809496d6d5f755e646ce276d93d08db04bf2a2c9b679a6d604b597	1328	/home/zyc/JTD_E2_K12_180_RUNS_20260925/target/E0_House01/1,3-2,4_fast/pmfs_13_19/target_02_seed_1669888489
TARGET	0	House01	1,3-2,4_fast	1	pmfs_13_19	3	JTD_E2|TARGET|environment_id=0|source_id=pmfs_13_19|target_new_index=3	460280753	460280753	16081dac72c5938a49a99f3e5ac299852ad413e7e34b66ba78fc7bd2c8256aef	396848	c2a13d9e75eba770eb73f098b8ae2e8f9dfb1e99ec9fc0af0e154da05b8f5219	1328	/home/zyc/JTD_E2_K12_180_RUNS_20260925/target/E0_House01/1,3-2,4_fast/pmfs_13_19/target_03_seed_460280753
TARGET	0	House01	1,3-2,4_fast	2	pmfs_27_36	0	JTD_E2|TARGET|environment_id=0|source_id=pmfs_27_36|target_new_index=0	127015129	127015129	fa2e2046d037dd12fbf1f618feffa15ceee79773f7221bb3c9520b2527b4c7eb	396848	562fd69f82d04034c016b477e544b1b064686d4a7a159f6f9ce869326bacc588	1328	/home/zyc/JTD_E2_K12_180_RUNS_20260925/target/E0_House01/1,3-2,4_fast/pmfs_27_36/target_00_seed_127015129
TARGET	0	House01	1,3-2,4_fast	2	pmfs_27_36	1	JTD_E2|TARGET|environment_id=0|source_id=pmfs_27_36|target_new_index=1	541959769	541959769	079fb769bb5812ed18046857dbd06c20c068376505428df1a1fd665ba837cf9f	396848	386511ec8ce757517c111f3af82367ca169b0f6662293906cd268acb8f0f19aa	1328	/home/zyc/JTD_E2_K12_180_RUNS_20260925/target/E0_House01/1,3-2,4_fast/pmfs_27_36/target_01_seed_541959769
