candidate_id,origin_i,origin_j,size_i,size_j,center_x,center_y,resampled_mean,fixed_center_mean,persistent_marginal_mean
quadtree_14_31_1_1,14,31,1,1,-3.20000001788139343262,1.57000026106834411621,0.721391075506391648772,0.707926859521424813385,0.719480544572112910829
quadtree_7_27_1_1,7,27,1,1,-5.30000010132789611816,0.370000213384628295898,0.000353383735011296383461,0.000289582105736090827718,0.000414117955073574492876
quadtree_8_19_4_5,8,19,4,5,-4.55000007152557373047,-1.42999985814094543457,0.000461006786874812611417,0.000756002257461511012236,0.00108903068313895218877
quadtree_19_27_2_2,19,27,2,2,-1.54999995231628417969,0.520000219345092773438,0.32939757437241736442,0.314852553970672320366,0.338256822048188741291
quadtree_24_25_1_1,24,25,1,1,-0.199999898672103881836,-0.229999810457229614258,0.558885249217681995227,0.611427357376426893767,0.598502569789860507186
quadtree_26_27_2_2,26,27,2,2,0.550000131130218505859,0.520000219345092773438,0.725875601237152467547,0.728718422689697355274,0.725982436405952111463
quadtree_28_27_1_1,28,27,1,1,1.00000014901161193848,0.370000213384628295898,0.722117077799544623709,0.72209537180658772015,0.720295907200023990166
quadtree_6_10_2_3,6,10,2,3,-5.4500001072883605957,-4.42999997735023498535,0.0564953697448038254328,0.0564980651757922937394,0.0565963785427341523435
quadtree_4_5_4_5,4,5,4,5,-5.75000011920928955078,-5.63000002503395080566,0.057427691471412719061,0.060164893189762067395,0.0681548802010491369406
quadtree_15_10_1_2,15,10,1,2,-2.90000000596046447754,-4.57999998331069946289,0.71055804059702734176,0.709816799739100426326,0.709993928388557092699
quadtree_17_10_1_2,17,10,1,2,-2.29999998211860656738,-4.57999998331069946289,0.710446865086338304337,0.709815877173535832374,0.710198986689973027649
quadtree_19_14_1_1,19,14,1,1,-1.69999995827674865723,-3.52999994158744812012,0.0573893951155830268687,0.0573803725238312024921,0.0574729400721534231246
quadtree_26_5_2_3,26,5,2,3,0.550000131130218505859,-5.93000003695487976074,0.705370507949089314999,0.698123532049212258709,0.702681847084349560264
quadtree_26_1_2_4,26,1,2,4,0.550000131130218505859,-6.98000007867813110352,0.70397452453964792378,0.70605909016231126283,0.706965646356896813937
quadtree_25_1_1_2,25,1,1,2,0.100000113248825073242,-7.28000009059906005859,0.711496061292941968813,0.711818839721916437192,0.708731717173920463149
quadtree_24_3_2_5,24,3,2,5,-0.0499998927116394042969,-6.23000004887580871582,0.681806416147044324131,0.692017985952724222238,0.692087330515090121412
quadtree_23_3_1_2,23,3,1,2,-0.499999910593032836914,-6.68000006675720214844,0.691138358093980628575,0.697368767202998473035,0.686243720813962525447
quadtree_21_4_2_1,21,4,2,1,-0.949999928474426269531,-6.5300000607967376709,0.634768316055246378685,0.651506241789947993892,0.659687973844384419357
quadtree_20_3_1_2,20,3,1,2,-1.39999994635581970215,-6.68000006675720214844,0.665407629771615151198,0.654263678747599783023,0.660995645345405122306
quadtree_16_2_1_2,16,2,1,2,-2.59999999403953552246,-6.98000007867813110352,0.709674847929371782358,0.709658714815235794273,0.709671187097871865746
quadtree_17_3_1_2,17,3,1,2,-2.29999998211860656738,-6.68000006675720214844,0.709693883533358720766,0.709676253718653993999,0.709684811253962649223
quadtree_14_4_3_1,14,4,3,1,-2.90000000596046447754,-6.5300000607967376709,0.709733788159172328573,0.709731013717226955442,0.709719192376358251227
quadtree_15_5_3_5,15,5,3,5,-2.59999999403953552246,-5.63000002503395080566,0.70981217671000900474,0.709801261315902638641,0.709775035113546104481
quadtree_26_14_2_3,26,14,2,3,0.550000131130218505859,-3.22999992966651916504,0.171472388260374041785,0.177534506767475049258,0.173767065602393120207
quadtree_23_14_1_3,23,14,1,3,-0.499999910593032836914,-3.22999992966651916504,0.0783249277827634238474,0.0786593739074975095813,0.0817891563137642318713
quadtree_24_12_2_5,24,12,2,5,-0.0499998927116394042969,-3.52999994158744812012,0.1208630185227925998,0.110174893077206562582,0.128417014236235564636
quadtree_20_5_4_3,20,5,4,3,-0.949999928474426269531,-5.93000003695487976074,0.566917946066671263035,0.60166592084121952005,0.583844740995925791556
quadtree_12_19_5_5,12,19,5,5,-3.20000001788139343262,-1.42999985814094543457,0.00392354678547125317397,0.00532070049702603017147,0.00726351511694699242953
quadtree_21_25_1_4,21,25,1,4,-1.09999993443489074707,0.220000207424163818359,0.366464169315394546481,0.358621672773106943595,0.354746595988738104398
quadtree_20_23_1_4,20,23,1,4,-1.39999994635581970215,-0.379999816417694091797,0.16310008858925392884,0.0909737097504148426724,0.12070219066056392731
quadtree_19_25_1_2,19,25,1,2,-1.69999995827674865723,-0.0799998044967651367188,0.155008624566936125533,0.172692170764515526079,0.137893660615085873102
quadtree_17_26_2_2,17,26,2,2,-2.14999997615814208984,0.220000207424163818359,0.255583729541514432582,0.275258712562591284923,0.217944684904985469702
quadtree_21_33_4_1,21,33,4,1,-0.649999916553497314453,2.17000028491020202637,0.691347499108481194073,0.691749667834958871895,0.697565845043081070309
quadtree_26_35_2_2,26,35,2,2,0.550000131130218505859,2.92000031471252441406,0.691521670886176798531,0.674569075685135626332,0.677257098130212426652
quadtree_21_34_5_3,21,34,5,3,-0.499999910593032836914,2.77000030875205993652,0.675097240951703996936,0.686372656861401342712,0.686672028406707734053
quadtree_20_29_1_3,20,29,1,3,-1.39999994635581970215,1.27000024914741516113,0.463259138185300310632,0.507555698557330287784,0.4970880867131118932
quadtree_15_31_5_1,15,31,5,1,-2.29999998211860656738,1.57000026106834411621,0.682951005820110625068,0.708460387970963585604,0.653068629318755592501
