source_update_id,cell_index,grid_i,grid_j,x,y,occupancy,probability,log_odds,confidence,omega,distance_from_robot,propagation_x,propagation_y,grid_width,grid_height,cell_size,origin_x,origin_y
1,0,0,0,-7.4000000953674316,-7.7300000190734863,Obstacle,0.30000000000000004,-0.84729786038720356,0,0,0,0,0,29,38,0.30000001192092896,-7.5500001907348633,-7.880000114440918
1,1,1,0,-7.1000003814697266,-7.7300000190734863,Obstacle,0.30000000000000004,-0.84729786038720356,0,0,0,0,0,29,38,0.30000001192092896,-7.5500001907348633,-7.880000114440918
1,2,2,0,-6.8000001907348633,-7.7300000190734863,Obstacle,0.30000000000000004,-0.84729786038720356,0,0,0,0,0,29,38,0.30000001192092896,-7.5500001907348633,-7.880000114440918
1,3,3,0,-6.5,-7.7300000190734863,Obstacle,0.30000000000000004,-0.84729786038720356,0,0,0,0,0,29,38,0.30000001192092896,-7.5500001907348633,-7.880000114440918
1,4,4,0,-6.2000002861022949,-7.7300000190734863,Obstacle,0.30000000000000004,-0.84729786038720356,0,0,0,0,0,29,38,0.30000001192092896,-7.5500001907348633,-7.880000114440918
1,5,5,0,-5.9000000953674316,-7.7300000190734863,Obstacle,0.30000000000000004,-0.84729786038720356,0,0,0,0,0,29,38,0.30000001192092896,-7.5500001907348633,-7.880000114440918
1,6,6,0,-5.6000003814697266,-7.7300000190734863,Obstacle,0.30000000000000004,-0.84729786038720356,0,0,0,0,0,29,38,0.30000001192092896,-7.5500001907348633,-7.880000114440918
1,7,7,0,-5.3000001907348633,-7.7300000190734863,Obstacle,0.30000000000000004,-0.84729786038720356,0,0,0,0,0,29,38,0.30000001192092896,-7.5500001907348633,-7.880000114440918
1,8,8,0,-5,-7.7300000190734863,Obstacle,0.30000000000000004,-0.84729786038720356,0,0,0,0,0,29,38,0.30000001192092896,-7.5500001907348633,-7.880000114440918
1,9,9,0,-4.6999998092651367,-7.7300000190734863,Obstacle,0.30000000000000004,-0.84729786038720356,0,0,0,0,0,29,38,0.30000001192092896,-7.5500001907348633,-7.880000114440918
1,10,10,0,-4.4000000953674316,-7.7300000190734863,Obstacle,0.30000000000000004,-0.84729786038720356,0,0,0,0,0,29,38,0.30000001192092896,-7.5500001907348633,-7.880000114440918
1,11,11,0,-4.1000003814697266,-7.7300000190734863,Obstacle,0.30000000000000004,-0.84729786038720356,0,0,0,0,0,29,38,0.30000001192092896,-7.5500001907348633,-7.880000114440918
1,12,12,0,-3.7999999523162842,-7.7300000190734863,Obstacle,0.30000000000000004,-0.84729786038720356,0,0,0,0,0,29,38,0.30000001192092896,-7.5500001907348633,-7.880000114440918
1,13,13,0,-3.5,-7.7300000190734863,Obstacle,0.30000000000000004,-0.84729786038720356,0,0,0,0,0,29,38,0.30000001192092896,-7.5500001907348633,-7.880000114440918
1,14,14,0,-3.1999998092651367,-7.7300000190734863,Obstacle,0.30000000000000004,-0.84729786038720356,0,0,0,0,0,29,38,0.30000001192092896,-7.5500001907348633,-7.880000114440918
1,15,15,0,-2.9000000953674316,-7.7300000190734863,Obstacle,0.30000000000000004,-0.84729786038720356,0,0,0,0,0,29,38,0.30000001192092896,-7.5500001907348633,-7.880000114440918
